epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2448.65,0.67045,0.6277,1.16978,0.70112,0.89764,0.91338,0.66376,0.7969,1.06859,1.27557,0.0007492,0.0007492,0.0007492
78,2479.5,0.68224,0.68091,1.17639,0.90002,0.45703,0.73617,0.50571,0.89828,2.10019,1.35479,0.0007459,0.0007459,0.0007459
79,2511.66,0.66155,0.6118,1.15852,0.83448,0.81944,0.90575,0.64575,0.77297,0.72975,1.27612,0.0007426,0.0007426,0.0007426
80,2542.52,0.66715,0.65132,1.16898,0.76382,0.63889,0.67552,0.42846,1.10691,1.48686,1.63123,0.0007393,0.0007393,0.0007393
81,2574.71,0.65624,0.6628,1.15081,0.71449,0.21762,0.22993,0.11274,2.25099,4.28457,2.59049,0.000736,0.000736,0.000736
82,2605.58,0.65279,0.60805,1.15753,0.96653,0.98611,0.99036,0.76811,0.61016,0.39661,1.14461,0.0007327,0.0007327,0.0007327
83,2637.82,0.62204,0.61247,1.13343,0.9861,0.99791,0.995,0.78966,0.64247,0.37731,1.17404,0.0007294,0.0007294,0.0007294
84,2668.59,0.64611,0.61508,1.1407,0.65655,0.32883,0.37141,0.19122,2.30397,4.16796,2.67935,0.0007261,0.0007261,0.0007261
85,2700.79,0.65406,0.643,1.15162,0.50107,0.29167,0.26717,0.13291,2.27531,3.79851,2.5479,0.0007228,0.0007228,0.0007228
86,2731.63,0.64182,0.64886,1.15746,0.94119,0.98611,0.98491,0.81942,0.51457,0.4012,1.07235,0.0007195,0.0007195,0.0007195
87,2763.74,0.61015,0.6198,1.13784,0.95584,0.98611,0.98264,0.76444,0.62519,0.48911,1.17215,0.0007162,0.0007162,0.0007162
88,2794.6,0.60513,0.59413,1.12984,0.97812,0.98611,0.98965,0.74778,0.63942,0.48044,1.19238,0.0007129,0.0007129,0.0007129
89,2826.83,0.62396,0.62036,1.14668,0.98128,0.98611,0.99358,0.75743,0.6103,0.39243,1.14833,0.0007096,0.0007096,0.0007096
90,2857.67,0.63467,0.65968,1.14412,0.88776,0.90278,0.9263,0.71844,0.75633,0.67326,1.28617,0.0007063,0.0007063,0.0007063
91,2889.87,0.59269,0.58822,1.13233,0.98209,0.98611,0.99121,0.79925,0.58429,0.44542,1.16027,0.000703,0.000703,0.000703
92,2920.73,0.62874,0.59378,1.15448,0.92441,0.9423,0.98938,0.82781,0.54964,0.42234,1.1152,0.0006997,0.0006997,0.0006997
93,2952.94,0.6395,0.58392,1.14887,0.94195,0.94923,0.98673,0.8186,0.53144,0.47419,1.06211,0.0006964,0.0006964,0.0006964
94,2983.72,0.63965,0.58558,1.16568,0.97114,0.97222,0.9889,0.81651,0.54599,0.42492,1.08036,0.0006931,0.0006931,0.0006931
95,3015.94,0.62521,0.58996,1.13758,0.98275,1,0.98676,0.78915,0.56993,0.35144,1.09789,0.0006898,0.0006898,0.0006898
96,3046.79,0.66343,0.61457,1.16502,0.88142,0.91632,0.9468,0.78036,0.58539,0.45706,1.12583,0.0006865,0.0006865,0.0006865
97,3078.94,0.65184,0.63939,1.15132,0.79199,0.88272,0.88154,0.69529,0.67357,0.59651,1.2159,0.0006832,0.0006832,0.0006832
98,3109.81,0.62217,0.5987,1.13845,0.95914,0.98611,0.98488,0.83546,0.5833,0.41923,1.16088,0.0006799,0.0006799,0.0006799
99,3142.24,0.67667,0.65397,1.16278,0.96125,0.98611,0.98661,0.81159,0.59189,0.43332,1.13789,0.0006766,0.0006766,0.0006766
100,3173.16,0.62828,0.58738,1.1516,0.95069,0.97222,0.99381,0.83101,0.55181,0.37393,1.11125,0.0006733,0.0006733,0.0006733
101,3205.45,0.60599,0.58801,1.13417,0.9702,0.97651,0.99258,0.83079,0.56876,0.48013,1.12244,0.00067,0.00067,0.00067
102,3236.35,0.63932,0.59861,1.15068,0.94829,0.85624,0.95474,0.68688,0.70252,0.6948,1.23255,0.0006667,0.0006667,0.0006667
103,3268.61,0.63975,0.58643,1.12067,0.66331,0.3463,0.34784,0.19234,2.1361,3.82604,2.43349,0.0006634,0.0006634,0.0006634
104,3299.41,0.60795,0.58367,1.12973,0.87201,0.93056,0.93533,0.77501,0.51537,0.50916,1.05571,0.0006601,0.0006601,0.0006601
105,3331.62,0.60023,0.56599,1.11509,0.72251,0.51169,0.63153,0.37221,1.38745,2.14678,2.1141,0.0006568,0.0006568,0.0006568
106,3362.51,0.62923,0.6129,1.11515,0.96674,0.97265,0.99381,0.82144,0.56073,0.3641,1.10096,0.0006535,0.0006535,0.0006535
107,3394.67,0.61519,0.56385,1.12599,0.87284,1,0.97247,0.8068,0.60537,0.3919,1.16245,0.0006502,0.0006502,0.0006502
108,3425.61,0.5917,0.52324,1.13244,0.7188,0.89838,0.85012,0.59948,1.00669,1.03927,1.6148,0.0006469,0.0006469,0.0006469
109,3457.8,0.59162,0.54625,1.12412,0.91571,0.91667,0.94963,0.79751,0.58412,0.37328,1.15743,0.0006436,0.0006436,0.0006436
110,3488.68,0.62281,0.57347,1.14409,0.99054,0.98611,0.99473,0.80859,0.57353,0.33431,1.17761,0.0006403,0.0006403,0.0006403
111,3520.92,0.59756,0.59114,1.12461,0.99529,1,0.995,0.81347,0.52403,0.32245,1.10739,0.000637,0.000637,0.000637
112,3551.82,0.59403,0.55906,1.12219,0.93555,0.90151,0.97067,0.79099,0.61471,0.53266,1.19242,0.0006337,0.0006337,0.0006337
113,3584.13,0.58806,0.57103,1.1111,0.83218,0.73611,0.88208,0.64478,0.84684,1.17303,1.36018,0.0006304,0.0006304,0.0006304
114,3614.97,0.57294,0.51708,1.09652,0.87622,0.8373,0.97022,0.78161,0.60177,0.70758,1.11723,0.0006271,0.0006271,0.0006271
115,3647.19,0.61205,0.59383,1.13513,0.89812,0.88889,0.96929,0.803,0.48332,0.4232,1.02281,0.0006238,0.0006238,0.0006238
116,3678.05,0.59432,0.58772,1.12213,0.67115,0.55267,0.56895,0.32933,1.31083,1.78181,1.73579,0.0006205,0.0006205,0.0006205
117,3710.17,0.59007,0.56526,1.12934,0.92004,0.98191,0.98001,0.83868,0.52295,0.36577,1.0998,0.0006172,0.0006172,0.0006172
118,3741.29,0.56739,0.57016,1.10347,0.92052,0.96611,0.97042,0.78407,0.61585,0.5441,1.18748,0.0006139,0.0006139,0.0006139
119,3773.46,0.57793,0.56154,1.09948,0.89214,0.48611,0.64278,0.44783,1.3502,2.0952,1.74562,0.0006106,0.0006106,0.0006106
120,3804.35,0.59241,0.53874,1.10784,0.72265,0.65278,0.74541,0.52358,1.15137,1.52256,1.56014,0.0006073,0.0006073,0.0006073
121,3836.62,0.60229,0.56605,1.11814,0.80779,0.72575,0.88898,0.62998,1.06958,1.00866,1.51129,0.000604,0.000604,0.000604
122,3867.53,0.53932,0.52113,1.0855,0.95641,0.94444,0.95864,0.79142,0.62937,0.35128,1.21668,0.0006007,0.0006007,0.0006007
123,3899.81,0.56251,0.54939,1.08638,0.96701,0.98611,0.98999,0.79713,0.58962,0.38908,1.1346,0.0005974,0.0005974,0.0005974
124,3930.63,0.55651,0.52904,1.08289,0.98249,0.98114,0.99336,0.81549,0.567,0.36322,1.10886,0.0005941,0.0005941,0.0005941
125,3962.87,0.5443,0.51875,1.08275,0.97096,0.97693,0.99432,0.82654,0.54217,0.3238,1.11047,0.0005908,0.0005908,0.0005908
126,3993.72,0.55356,0.55146,1.08835,0.95581,0.99779,0.98885,0.81397,0.56446,0.34071,1.11617,0.0005875,0.0005875,0.0005875
127,4025.88,0.57217,0.54763,1.119,0.88382,0.98611,0.97926,0.81845,0.53784,0.42676,1.09478,0.0005842,0.0005842,0.0005842
128,4056.78,0.56105,0.51134,1.10066,0.8084,0.77778,0.8349,0.61106,0.73602,0.61653,1.26138,0.0005809,0.0005809,0.0005809
129,4088.97,0.54596,0.53605,1.09127,0.85951,0.9776,0.92221,0.7527,0.67459,0.4541,1.23711,0.0005776,0.0005776,0.0005776
130,4119.82,0.57588,0.53814,1.11224,0.99203,0.98995,0.995,0.79918,0.55591,0.3191,1.14004,0.0005743,0.0005743,0.0005743
131,4152.03,0.54484,0.53349,1.07274,0.91659,0.94382,0.98341,0.77493,0.56436,0.44693,1.1467,0.000571,0.000571,0.000571
132,4182.92,0.5551,0.52025,1.08213,0.97711,0.98076,0.99004,0.78803,0.5897,0.36166,1.17349,0.0005677,0.0005677,0.0005677
133,4215.16,0.553,0.5225,1.0845,0.9928,0.98228,0.99447,0.83284,0.51699,0.34672,1.09232,0.0005644,0.0005644,0.0005644
134,4245.94,0.5846,0.53536,1.10705,0.99721,0.98211,0.99423,0.85402,0.50692,0.33125,1.09039,0.0005611,0.0005611,0.0005611
135,4278.34,0.55653,0.5203,1.08664,0.99129,0.98611,0.99447,0.83207,0.52328,0.32094,1.09504,0.0005578,0.0005578,0.0005578
136,4309.17,0.57243,0.53103,1.09859,0.97933,0.99327,0.99473,0.81537,0.56786,0.38178,1.09875,0.0005545,0.0005545,0.0005545
137,4341.27,0.56032,0.51583,1.08387,0.92274,0.93842,0.96572,0.81131,0.57865,0.41158,1.08976,0.0005512,0.0005512,0.0005512
138,4372.08,0.56345,0.54319,1.10318,0.9358,0.97222,0.987,0.8346,0.50203,0.34424,1.06561,0.0005479,0.0005479,0.0005479
139,4404.27,0.56721,0.52562,1.09493,0.99023,0.98611,0.99423,0.84735,0.5071,0.30347,1.07491,0.0005446,0.0005446,0.0005446
140,4435.15,0.57767,0.5587,1.10312,0.97002,0.98611,0.99357,0.81104,0.63342,0.36719,1.16512,0.0005413,0.0005413,0.0005413
141,4467.35,0.54927,0.49943,1.07936,0.92518,0.97222,0.98609,0.83729,0.50049,0.36337,1.04941,0.000538,0.000538,0.000538
142,4498.22,0.56908,0.51579,1.10322,0.96718,0.98264,0.98721,0.83747,0.5479,0.37485,1.07087,0.0005347,0.0005347,0.0005347
143,4530.42,0.54775,0.4986,1.09091,0.71107,0.76124,0.78627,0.54656,0.76484,0.96312,1.31214,0.0005314,0.0005314,0.0005314
144,4561.17,0.53735,0.50674,1.07436,0.84334,0.9994,0.94225,0.72445,0.5418,0.46822,1.03537,0.0005281,0.0005281,0.0005281
145,4593.38,0.56829,0.55767,1.0994,0.91749,0.98968,0.99085,0.84237,0.48787,0.39855,1.02084,0.0005248,0.0005248,0.0005248
146,4624.19,0.56144,0.53233,1.11397,0.93166,1,0.98849,0.84142,0.49281,0.36189,1.04552,0.0005215,0.0005215,0.0005215
147,4656.32,0.52692,0.50679,1.06778,0.99341,0.98526,0.995,0.82639,0.53621,0.32247,1.11821,0.0005182,0.0005182,0.0005182
148,4687.17,0.5524,0.5371,1.0833,0.9253,0.98611,0.98732,0.83728,0.53319,0.37732,1.12404,0.0005149,0.0005149,0.0005149
149,4719.36,0.54675,0.50816,1.07832,0.93066,0.98611,0.98838,0.80636,0.55798,0.36261,1.12933,0.0005116,0.0005116,0.0005116
150,4750.23,0.55645,0.5145,1.08719,0.97203,0.99315,0.99254,0.81197,0.57469,0.34619,1.13297,0.0005083,0.0005083,0.0005083
151,4782.44,0.53361,0.48082,1.06735,0.95822,0.99744,0.99447,0.83444,0.53424,0.35068,1.13522,0.000505,0.000505,0.000505
152,4813.29,0.52349,0.51906,1.06967,0.95263,0.98203,0.9926,0.84752,0.52335,0.38186,1.10276,0.0005017,0.0005017,0.0005017
153,4845.54,0.52045,0.50234,1.04935,0.96081,0.98611,0.99342,0.82282,0.53933,0.33487,1.12325,0.0004984,0.0004984,0.0004984
154,4876.32,0.53715,0.53357,1.10031,0.97188,0.98611,0.994,0.83801,0.52856,0.32196,1.10532,0.0004951,0.0004951,0.0004951
155,4908.46,0.55577,0.53776,1.08447,0.96796,0.95833,0.98307,0.79942,0.54963,0.42841,1.12724,0.0004918,0.0004918,0.0004918
156,4939.36,0.53045,0.50925,1.08449,0.81466,0.80556,0.8693,0.6813,0.64544,0.76017,1.19136,0.0004885,0.0004885,0.0004885
157,4971.46,0.52306,0.49735,1.07591,0.94938,0.98611,0.99151,0.83751,0.51157,0.32757,1.06612,0.0004852,0.0004852,0.0004852
158,5002.29,0.51878,0.49029,1.07992,0.99615,0.98611,0.98875,0.82234,0.53773,0.35606,1.08591,0.0004819,0.0004819,0.0004819
159,5034.42,0.53314,0.50625,1.07242,0.91037,0.80382,0.82862,0.58369,1.03868,0.95641,1.60359,0.0004786,0.0004786,0.0004786
160,5065.32,0.55787,0.55561,1.10379,0.6,0.58333,0.58629,0.29604,1.93064,2.05648,3.07058,0.0004753,0.0004753,0.0004753
161,5097.49,0.55636,0.55582,1.08127,0.96354,0.93838,0.99044,0.83173,0.55313,0.35222,1.0938,0.000472,0.000472,0.000472
162,5128.31,0.53138,0.48575,1.0698,0.94559,0.99724,0.98858,0.85418,0.49472,0.32402,1.06975,0.0004687,0.0004687,0.0004687
163,5160.55,0.49895,0.46918,1.06655,0.89546,0.80963,0.94265,0.799,0.54477,0.52761,1.08886,0.0004654,0.0004654,0.0004654
164,5191.35,0.51297,0.49176,1.07123,0.83947,0.93056,0.97278,0.79479,0.53459,0.45081,1.08929,0.0004621,0.0004621,0.0004621
165,5223.5,0.51934,0.49935,1.07276,0.99336,0.97991,0.99029,0.80052,0.58126,0.32906,1.16396,0.0004588,0.0004588,0.0004588
166,5254.31,0.53746,0.494,1.07697,0.97467,0.98611,0.99295,0.80703,0.61998,0.31593,1.234,0.0004555,0.0004555,0.0004555
167,5286.41,0.49171,0.44995,1.03211,0.94286,0.98611,0.98879,0.82,0.54049,0.38189,1.11995,0.0004522,0.0004522,0.0004522
